,alpha_0,P_0,w_0,distance,beta_1,beta_2,x1,y1,x2,y2
0,-1.953125,1.3984375,1.703125,159.375,0.28125,1.84375,1.0466302633695362e-178,7.058035806244159e-179,8.106450380995e-219,5.954303218180571e-219
1,-1.203125,1.3984375,1.703125,159.375,0.28125,1.84375,3.585147643844624e-161,2.343310446641901e-161,3.5677547888091467e-186,2.460030350607736e-186
2,-1.953125,2.0078125,1.703125,159.375,0.28125,1.84375,3.340764365042867,1.6703821825214282,5.712899811242718,2.8564499056213695
3,-1.953125,1.3984375,1.984375,159.375,0.28125,1.84375,1.0838842597014544e-205,7.701119844305286e-206,2.9010524664475187e-238,2.215369854132744e-238
4,-1.953125,1.3984375,1.703125,59.375,0.28125,1.84375,1.0418219127083315e-178,7.02561030478149e-179,8.836214777880275e-194,6.169908417236841e-194
5,-1.953125,1.3984375,1.703125,159.375,0.78125,1.84375,9.180597557841375e-179,6.191010192783242e-179,1.1194218265290992e-218,8.22231269043513e-219
6,-1.953125,1.3984375,1.703125,159.375,0.28125,1.90625,9.945726873233597e-179,6.706981333065349e-179,7.964280426465696e-219,5.849877362473486e-219
7,-1.203125,2.0078125,1.984375,59.375,0.78125,1.90625,2.675899808537593,1.3379499042688021,5.1926398564113985,2.59631992820571
8,-1.453125,2.1484375,1.203125,59.375,1.28125,0.84375,4.228668724982294,2.1143343624911557,7.9585735480492925,3.979286774024652
9,-1.703125,2.1484375,1.203125,59.375,1.28125,0.84375,4.398474217378338,2.199237108689166,8.559524257568548,4.27976212878428
10,-1.453125,1.2578125,1.203125,59.375,1.28125,0.84375,2.8149874511025255,1.407493725551268,6.590349178422266,3.295174589211144
11,-1.453125,2.1484375,1.484375,59.375,1.28125,0.84375,3.732145763891843,1.8660728819459165,6.975191297711288,3.487595648855633
12,-1.453125,2.1484375,1.203125,159.375,1.28125,0.84375,4.228668724982299,2.11433436249116,7.405837243978467,3.702918621989231
13,-1.453125,2.1484375,1.203125,59.375,1.78125,0.84375,4.228668724982309,2.1143343624911655,8.690058292012155,4.3450291460061
14,-1.453125,2.1484375,1.203125,59.375,1.28125,0.90625,4.228668724982294,2.1143343624911557,8.006901556039587,4.003450778019797
15,-1.703125,1.2578125,1.484375,159.375,1.78125,0.90625,2.9203769963406763e-167,1.9288438717403107e-167,1.1901449781048573e-203,8.4944775556187e-204
