,alpha_0,P_0,w_0,distance,beta_1,beta_2,x1,y1,x2,y2
0,-1.90625,1.703125,1.46875,181.25,0.5625,1.9375,3.271516936241476,1.6357584681207324,6.305546523779082,3.152773261889539
1,-1.46875,1.703125,1.46875,181.25,0.5625,1.9375,3.1565033506220246,1.578251675311007,5.722120846227857,2.8610604231139174
2,-1.90625,2.265625,1.46875,181.25,0.5625,1.9375,4.130015982359383,2.065007991179681,7.073642623858561,3.5368213119292697
3,-1.90625,1.703125,1.46875,181.25,0.5625,1.9375,3.271516936241476,1.6357584681207324,6.305546523779094,3.1527732618895365
4,-1.90625,1.703125,1.46875,81.25,0.5625,1.9375,3.271516936241476,1.6357584681207324,6.8176830920340254,3.4088415460170065
5,-1.90625,1.703125,1.46875,181.25,0.1875,1.9375,3.271516936241476,1.6357584681207324,5.718772182091299,2.8593860910456383
6,-1.90625,1.703125,1.46875,181.25,0.5625,0.8125,3.271516936241476,1.6357584681207324,5.3874820116468545,2.6937410058234166
7,-1.46875,2.265625,1.46875,81.25,0.1875,0.8125,3.894069692487584,1.9470348462437956,5.242972953644056,2.6214864768220174
8,-1.40625,2.453125,1.96875,81.25,1.5625,0.9375,3.335637889335487,1.6678189446677383,6.219377127749877,3.1096885638749434
9,-1.96875,2.453125,1.96875,81.25,1.5625,0.9375,3.528888485142055,1.7644442425710332,7.112309059349532,3.5561545296747705
10,-1.40625,1.515625,1.96875,81.25,1.5625,0.9375,1.5877443326986207e-175,1.0643317495439553e-175,4.748063444628642e-189,3.2852486009207565e-189
11,-1.40625,2.453125,1.96875,81.25,1.5625,0.9375,3.335637889335488,1.6678189446677387,6.219377127749865,3.1096885638749434
12,-1.40625,2.453125,1.96875,181.25,1.5625,0.9375,3.335637889335495,1.667818944667753,5.777287717490139,2.8886438587450707
13,-1.40625,2.453125,1.96875,81.25,1.1875,0.9375,3.3356378893354894,1.6678189446677392,5.831693206091276,2.915846603045627
14,-1.40625,2.453125,1.96875,81.25,1.5625,1.8125,3.335637889335483,1.6678189446677445,6.63083422508091,3.31541711254045
15,-1.96875,1.515625,1.96875,181.25,1.1875,1.8125,7.210324811123117e-192,4.9801616965221154e-192,4.619081777578949e-233,3.4887935133747203e-233
16,-1.90625,1.703125,1.46875,181.25,0.5625,1.9375,3.271516936241476,1.6357584681207324,6.305546523779094,3.1527732618895365
17,-1.46875,1.703125,1.46875,181.25,0.5625,1.9375,3.1565033506220246,1.578251675311007,5.722120846227857,2.8610604231139174
18,-1.90625,2.265625,1.46875,181.25,0.5625,1.9375,4.130015982359385,2.065007991179682,7.073642623858559,3.536821311929269
19,-1.90625,1.703125,1.46875,181.25,0.5625,1.9375,3.271516936241497,1.6357584681207538,6.305546523779103,3.1527732618895534
20,-1.90625,1.703125,1.46875,81.25,0.5625,1.9375,3.271516936241476,1.6357584681207324,6.817683092034024,3.408841546017003
21,-1.90625,1.703125,1.46875,181.25,0.1875,1.9375,3.271516936241476,1.6357584681207324,5.718772182091294,2.8593860910456406
22,-1.90625,1.703125,1.46875,181.25,0.5625,0.8125,3.271516936241476,1.6357584681207324,5.3874820116468545,2.6937410058234166
23,-1.46875,2.265625,1.46875,81.25,0.1875,0.8125,3.894069692487584,1.9470348462437956,5.242972953644056,2.6214864768220174
24,-1.40625,2.453125,1.96875,81.25,1.5625,0.9375,3.3356378893354885,1.6678189446677387,6.219377127749863,3.1096885638749425
25,-1.96875,2.453125,1.96875,81.25,1.5625,0.9375,3.5288884851420703,1.7644442425710407,7.112309059349566,3.556154529674772
26,-1.40625,1.515625,1.96875,81.25,1.5625,0.9375,1.0175021006796516e-175,6.820744175734913e-176,2.9210426308455427e-189,2.0211084641405343e-189
27,-1.40625,2.453125,1.96875,81.25,1.5625,0.9375,3.3356378893354877,1.6678189446677383,6.219377127749903,3.1096885638749407
28,-1.40625,2.453125,1.96875,181.25,1.5625,0.9375,3.3356378893354894,1.6678189446677392,5.777287717490119,2.888643858745069
29,-1.40625,2.453125,1.96875,81.25,1.1875,0.9375,3.335637889335488,1.6678189446677387,5.831693206091241,2.9158466030456314
30,-1.40625,2.453125,1.96875,81.25,1.5625,1.8125,3.3356378893354925,1.6678189446677516,6.630834225080919,3.3154171125404535
31,-1.96875,1.515625,1.96875,181.25,1.1875,1.8125,2.390600698078803e-191,1.6511847025094845e-191,2.0055970047551108e-232,1.5148278721969003e-232
