,alpha_0,P_0,w_0,distance,beta_1,beta_2,x1,y1,x2,y2
0,-1.90625,0.9875,0.984375,594.0625,0.140625,1.953125,2.6513112537077004,1.3256556268538446,4.035062132377366,2.0175310661886723
1,-1.46875,0.9875,0.984375,594.0625,0.140625,1.953125,2.647032297223825,1.323516148611907,3.808916203425503,1.9044581017127462
2,-1.90625,1.1375,0.984375,594.0625,0.140625,1.953125,3.2594090324875142,1.6297045162437627,4.555059331687706,2.277529665843864
3,-1.90625,0.9875,0.984375,594.0625,0.140625,1.953125,2.651311253707782,1.3256556268538966,4.035062132377445,2.0175310661887336
4,-1.90625,0.9875,0.984375,149.0625,0.140625,1.953125,6.338785626320908e-135,3.932705430536358e-135,4.292791374945303e-184,2.938849147151637e-184
5,-1.90625,0.9875,0.984375,594.0625,0.046875,1.953125,2.6513112537077004,1.3256556268538446,3.8509820704384663,1.9254910352192276
6,-1.90625,0.9875,0.984375,594.0625,0.140625,1.109375,2.651311253707782,1.3256556268538966,2.9604338726087245,1.4802169363043678
7,-1.46875,1.1375,0.984375,149.0625,0.046875,1.109375,3.1462499242699464,1.5731249621349677,4.937938158892142,2.46896907944606
8,-1.40625,1.1875,1.234375,149.0625,0.390625,1.203125,2.4317318670927093,1.2158659335463602,4.7517424105765524,2.375871205288287
9,-1.96875,1.1875,1.234375,149.0625,0.390625,1.203125,2.3177253013039416,1.1588626506519764,5.1429317214826495,2.571465860741336
10,-1.40625,0.9375,1.234375,149.0625,0.390625,1.203125,1.3135528436541257e-177,8.835078945477261e-178,1.285996865187914e-202,9.129769215063078e-203
11,-1.40625,1.1875,1.234375,149.0625,0.390625,1.203125,2.431731867092559,1.215865933546274,4.7517424105764645,2.375871205288221
12,-1.40625,1.1875,1.234375,594.0625,0.390625,1.203125,2.4317318670927093,1.2158659335463602,2.933006061720247,1.466503030860129
13,-1.40625,1.1875,1.234375,149.0625,0.296875,1.203125,2.4317318670927093,1.2158659335463602,4.600335782744055,2.3001678913720385
14,-1.40625,1.1875,1.234375,149.0625,0.390625,1.859375,2.4317318670927093,1.2158659335463602,5.226186089359769,2.6130930446798954
15,-1.96875,0.9375,1.234375,594.0625,0.296875,1.859375,8.251364331620005e-194,5.7259459954992e-194,6.438187157334773e-287,5.495169283258467e-287
16,-1.15625,0.8875000000000001,0.859375,816.5625,0.265625,0.828125,2.742538643010373,1.371269321505192,6.480772243373246e-160,4.2277347974070635e-160
17,-1.21875,0.8875000000000001,0.859375,816.5625,0.265625,0.828125,1.1095247297573105e-129,6.828652674121877e-130,5.395638666263871e-240,4.118719907188644e-240
18,-1.15625,0.8375,0.859375,816.5625,0.265625,0.828125,2.531293447421168,1.2656467237105784,2.4456486857848282e-169,1.6204964350553335e-169
19,-1.15625,0.8875000000000001,1.109375,816.5625,0.265625,0.828125,2.0487783725323792e-163,1.3441368753551523e-163,1.1287067436039591e-241,8.659940096138597e-242
20,-1.15625,0.8875000000000001,0.859375,816.5625,0.265625,0.828125,2.742538643010373,1.371269321505192,5.776353280029224e-160,3.768206757931815e-160
21,-1.15625,0.8875000000000001,0.859375,816.5625,0.421875,0.828125,2.742538643010373,1.371269321505192,2.404411380848886,1.2022056904244485
22,-1.15625,0.8875000000000001,0.859375,816.5625,0.265625,1.484375,2.7425386430103065,1.3712693215051477,3.850712203172716e-122,2.334339914134662e-122
23,-1.21875,0.8375,1.109375,816.5625,0.421875,1.484375,2.684188322846122e-172,1.7889094426638575e-172,4.4974006632498174e-247,3.499417577616694e-247
24,-1.65625,1.0875,1.109375,371.5625,0.015625,1.578125,2.5190050068960397,1.2595025034480254,3.946203705965567,1.973101852982789
25,-1.71875,1.0875,1.109375,371.5625,0.015625,1.578125,2.514234012603455,1.2571170063017219,3.97553507675619,1.9877675383780895
26,-1.65625,1.0375,1.109375,371.5625,0.015625,1.578125,5.339433873397172e-137,3.402633719352461e-137,1.988209132347141e-211,1.4930633414535625e-211
27,-1.65625,1.0875,0.859375,371.5625,0.015625,1.578125,3.4692298539154414,1.7346149269577151,5.142259568688026,2.571129784344019
28,-1.65625,1.0875,1.109375,371.5625,0.015625,1.578125,2.5190050068960397,1.2595025034480254,3.946203705965567,1.973101852982789
29,-1.65625,1.0875,1.109375,371.5625,0.171875,1.578125,2.5190050068960397,1.2595025034480254,4.247900984127602,2.1239504920638117
30,-1.65625,1.0875,1.109375,371.5625,0.015625,0.734375,2.5190050068960397,1.2595025034480254,2.96341275769984e-138,1.8443353807740856e-138
31,-1.71875,1.0375,0.859375,371.5625,0.171875,0.734375,3.35092560861064,1.6754628043053144,4.40262970364349,2.201314851821734
32,-1.53125,0.8375,1.171875,260.3125,0.078125,1.765625,1.897982469280372e-189,1.3060540003524193e-189,4.5766745944281e-230,3.4366784808149996e-230
33,-1.09375,0.8375,1.171875,260.3125,0.078125,1.765625,2.9355446374736133e-174,1.962534549903615e-174,3.217400478836984e-204,2.2914767760568767e-204
34,-1.53125,0.8875000000000001,1.171875,260.3125,0.078125,1.765625,1.848276495121585e-181,1.2528153723363012e-181,3.534945085703968e-225,2.6294484442592875e-225
35,-1.53125,0.8375,1.046875,260.3125,0.078125,1.765625,1.064999806088591e-173,7.110323702958649e-174,1.359343600538784e-220,1.0015873455403414e-220
36,-1.53125,0.8375,1.171875,482.8125,0.078125,1.765625,2.1777164422175576e-189,1.4985466499434395e-189,1.2241010916672275e-252,9.648591067988987e-253
37,-1.53125,0.8375,1.171875,260.3125,0.484375,1.765625,1.8035716739543185e-189,1.241087332373237e-189,7.307348785684063e-230,5.48717366844128e-230
38,-1.53125,0.8375,1.171875,260.3125,0.078125,0.546875,1.5871790125211418e-189,1.0921815834076721e-189,2.6355198431597627e-231,1.979042674734862e-231
39,-1.09375,0.8875000000000001,1.046875,482.8125,0.484375,0.546875,5.490405855152913e-154,3.547883367546143e-154,3.688117847520819e-212,2.681975483866951e-212
40,-1.03125,1.0375,0.921875,705.3125,0.328125,1.015625,2.9577958453427815,1.4788979226713854,3.059602258096652,1.5298011290483204
41,-1.59375,1.0375,0.921875,705.3125,0.328125,1.015625,3.0952516930762566,1.5476258465381227,3.3274960963576192,1.663748048178804
42,-1.03125,1.0875,0.921875,705.3125,0.328125,1.015625,3.068223616531337,1.5341118082656737,3.1486097448523265,1.5743048724261688
43,-1.03125,1.0375,0.796875,705.3125,0.328125,1.015625,3.2828048313341136,1.6414024156670513,3.5222615878812453,1.7611307939406173
44,-1.03125,1.0375,0.921875,37.8125,0.328125,1.015625,2.957795845342823,1.478897922671417,5.319887433009891,2.659943716504956
45,-1.03125,1.0375,0.921875,705.3125,0.234375,1.015625,2.9577958453427815,1.4788979226713854,2.8601064164263588,1.430053208213185
46,-1.03125,1.0375,0.921875,705.3125,0.328125,1.296875,2.957795845342823,1.478897922671417,3.302773116103635,1.651386558051823
47,-1.59375,1.0875,0.796875,37.8125,0.234375,1.296875,3.6507574019219273,1.8253787009609588,7.138322534538915,3.569161267269468
48,-1.28125,0.9375,1.046875,37.8125,0.453125,0.640625,6.850905377497498e-148,4.393211388924917e-148,5.748031938751193e-152,3.7470872148704616e-152
49,-1.34375,0.9375,1.046875,37.8125,0.453125,0.640625,2.3800553311517236e-149,1.5285789929202235e-149,5.06502192247535e-154,3.3095350883142915e-154
50,-1.28125,1.1875,1.046875,37.8125,0.453125,0.640625,3.0432798454014436,1.5216399227007162,5.398912494270487,2.699456247135233
51,-1.28125,0.9375,0.921875,37.8125,0.453125,0.640625,2.6977566959762647,1.3488783479881379,5.325636336219762,2.662818168109892
52,-1.28125,0.9375,1.046875,260.3125,0.453125,0.640625,1.050165904179214e-148,6.7342935806041105e-149,7.326219064390983e-194,5.1592954280390036e-194
53,-1.28125,0.9375,1.046875,37.8125,0.109375,0.640625,7.874427534961335e-152,5.049555178718965e-152,2.0625353643785911e-156,1.344547138295875e-156
54,-1.28125,0.9375,1.046875,37.8125,0.453125,1.671875,3.024458453448731e-152,1.9394641424568504e-152,2.7185101545886196e-156,1.7721708494834204e-156
55,-1.34375,1.1875,0.921875,260.3125,0.109375,1.671875,3.3959687724155265,1.6979843862077688,5.411835940527985,2.7059179702640037
56,-1.78125,1.1375,0.796875,482.8125,0.203125,1.390625,3.8562295750510382,1.9281147875255138,5.417240573221379,2.7086202866107003
57,-1.84375,1.1375,0.796875,482.8125,0.203125,1.390625,3.884794678577002,1.9423973392884992,5.489908368426921,2.7449541842134497
58,-1.78125,0.9875,0.796875,482.8125,0.203125,1.390625,3.450659079420756,1.7253295397103727,5.101719125535617,2.5508595627678066
59,-1.78125,1.1375,1.171875,482.8125,0.203125,1.390625,2.4370354676683186,1.2185177338341648,3.523698833295807,1.7618494166479088
60,-1.78125,1.1375,0.796875,705.3125,0.203125,1.390625,3.8562295750510263,1.9281147875255078,4.444518991906188,2.222259495953096
61,-1.78125,1.1375,0.796875,482.8125,0.359375,1.390625,3.8562295750510347,1.9281147875255118,5.7532543618320435,2.8766271809160324
62,-1.78125,1.1375,0.796875,482.8125,0.203125,0.921875,3.8562295750510382,1.9281147875255138,4.839622401175754,2.41981120058787
63,-1.84375,0.9875,1.171875,705.3125,0.359375,0.921875,3.41741287437024e-171,2.2730253175264188e-171,6.485606293542571e-283,5.478750954717028e-283
64,-1.84375,0.8625,1.015625,760.9375,0.421875,1.484375,3.6701120924863716e-172,2.434234656214392e-172,9.026139083401174e-288,7.68794366132435e-288
65,-1.03125,0.8625,1.015625,760.9375,0.421875,1.484375,3.3018499811278053e-152,2.1281278404306395e-152,1.0192443449337693e-223,7.590232852984363e-224
66,-1.84375,0.8625,1.015625,760.9375,0.421875,1.484375,8.203035192922746e-170,5.440736426998654e-170,1.6116817473824176e-285,1.3727373752357357e-285
67,-1.84375,0.8625,1.015625,760.9375,0.421875,1.484375,1.0476930862771397e-169,6.948918058696863e-170,2.4247581809864894e-285,2.0652688946529184e-285
68,-1.84375,0.8625,1.015625,427.1875,0.421875,1.484375,1.2996248715916718e-169,8.619878147545636e-170,6.1631271904620376e-254,4.89364712750552e-254
69,-1.84375,0.8625,1.015625,760.9375,0.328125,1.484375,8.668280887005492e-172,5.749314792904502e-172,1.0899766946534365e-287,9.283791600399955e-288
70,-1.84375,0.8625,1.015625,760.9375,0.421875,1.203125,2.2721998628891648e-171,1.507056872571783e-171,1.2747730878114264e-287,1.0857780485666762e-287
71,-1.03125,0.8625,1.015625,427.1875,0.328125,1.203125,1.0246736333755375e-156,6.604286987614333e-157,3.9757336194688e-208,2.84080019604263e-208
72,-1.34375,1.0625,0.765625,315.9375,0.171875,0.734375,3.5761293327228434,1.7880646663614268,4.7247073816346665,2.362353690817322
73,-1.53125,1.0625,0.765625,315.9375,0.171875,0.734375,3.6658331248957583,1.8329165624478847,4.938130708117281,2.46906535405863
74,-1.34375,1.0625,0.765625,315.9375,0.171875,0.734375,3.5761293327228447,1.7880646663614252,4.724707381634637,2.362353690817328
75,-1.34375,1.0625,0.765625,315.9375,0.171875,0.734375,3.5761293327228434,1.7880646663614268,4.724707381634668,2.362353690817323
76,-1.34375,1.0625,0.765625,872.1875,0.171875,0.734375,3.5761293327228434,1.7880646663614268,1.6886553665772978e-149,1.0786196083737125e-149
77,-1.34375,1.0625,0.765625,315.9375,0.078125,0.734375,3.5761293327228434,1.7880646663614268,4.456394492305595,2.2281972461527912
78,-1.34375,1.0625,0.765625,315.9375,0.171875,1.953125,3.5761293327228434,1.7880646663614268,6.0570983479104274,3.0285491739552195
79,-1.53125,1.0625,0.765625,872.1875,0.078125,1.953125,3.6658331248957783,1.832916562447884,3.868303053023431,1.9341515265117208
80,-1.09375,0.9625,1.140625,538.4375,0.046875,1.109375,1.2888825054330432e-154,8.337113527627873e-155,2.577423883270761e-218,1.8906070103101327e-218
81,-1.28125,0.9625,1.140625,538.4375,0.046875,1.109375,3.210049287824332e-159,2.0907131164175462e-159,1.0069757100597962e-232,7.592588589829195e-233
82,-1.09375,1.1625,1.140625,538.4375,0.046875,1.109375,2.695632165435939,1.347816082717975,2.6147836816813297,1.3073918408406704
83,-1.09375,0.9625,0.890625,538.4375,0.046875,1.109375,2.8677961600736896,1.4338980800368502,3.186063374654756,1.5930316873273833
84,-1.09375,0.9625,1.140625,649.6875,0.046875,1.109375,9.88527503777685e-155,6.394272549620926e-155,1.428135205176028e-226,1.0626486808769645e-226
85,-1.09375,0.9625,1.140625,538.4375,0.203125,1.109375,6.067749095226784e-156,3.92491269381226e-156,5.961935751805809e-219,4.373233910240199e-219
86,-1.09375,0.9625,1.140625,538.4375,0.046875,1.578125,1.098634715713692e-158,7.106499088697619e-159,1.088561866720881e-221,7.984882540031082e-222
87,-1.28125,1.1625,0.890625,649.6875,0.203125,1.578125,3.4015968336902374,1.700798416845124,4.029077882457747,2.014538941228884
88,-1.59375,1.1625,0.890625,93.4375,0.296875,1.859375,3.531682940944034,1.7658414704720222,7.2613120526033255,3.630656026301674
89,-1.78125,1.1625,0.890625,93.4375,0.296875,1.859375,3.6046806535881144,1.8023403267940563,7.612840283964315,3.8064201419821675
90,-1.59375,0.9625,0.890625,93.4375,0.296875,1.859375,2.956281174242475,1.478140587121243,6.704570889502317,3.3522854447511694
91,-1.59375,1.1625,1.140625,93.4375,0.296875,1.859375,2.7226757737551845,1.3613378868775978,5.944419775831467,2.972209887915745
92,-1.59375,1.1625,0.890625,204.6875,0.296875,1.859375,3.531682940944029,1.76584147047202,6.68885160851416,3.3444258042570905
93,-1.59375,1.1625,0.890625,93.4375,0.453125,1.859375,3.531682940944029,1.76584147047202,7.573302472576676,3.786651236288346
